team;qualification_method;qualification_date;finals_appearance;consecutive_appearances;last_appearance;previous_best_performance_status;previous_best_performance_year;fifa_ranking
Brazil;Host;2007-10-30;20;20;NULL;Winners;1958;11
Brazil;Host;2007-10-30;20;20;NULL;Winners;1962;11
Brazil;Host;2007-10-30;20;20;NULL;Winners;1970;11
Brazil;Host;2007-10-30;20;20;NULL;Winners;1994;11
Brazil;Host;2007-10-30;20;20;NULL;Winners;2002;11
Germany;UEFA Group C Winners;2013-10-11;18;16;NULL;Winners;1954;2
Germany;UEFA Group C Winners;2013-10-11;18;16;NULL;Winners;1974;2
Germany;UEFA Group C Winners;2013-10-11;18;16;NULL;Winners;1990;2
Italy;UEFA Group B Winners;2013-09-10;18;14;NULL;Winners;1934;9
Italy;UEFA Group B Winners;2013-09-10;18;14;NULL;Winners;1938;9
Italy;UEFA Group B Winners;2013-09-10;18;14;NULL;Winners;1982;9
Italy;UEFA Group B Winners;2013-09-10;18;14;NULL;Winners;2006;9
Argentina;CONMEBOL Round Robin Winners;2013-09-10;16;11;NULL;Winners;1978;3
Argentina;CONMEBOL Round Robin Winners;2013-09-10;1;11;NULL;Winners;1986;3
Mexico;CONCACAF v OFC play-off Winners;2013-11-20;15;6;NULL;Quarter-finals;1970;24
Mexico;CONCACAF v OFC play-off Winners;2013-11-20;15;6;NULL;Quarter-finals;1986;24
Spain;UEFA Group I Winners;2013-10-15;14;10;NULL;Winners;2010;1
England;UEFA Group H Winners;2013-10-15;14;5;NULL;Winners;1966;10
France;UEFA Play-off Winners;2013-11-19;14;5;NULL;Winners;1998;21
Belgium;UEFA Group A Winners;2013-10-11;12;1;2001;Fourth place;1986;5
Uruguay;AFC v CONMEBOL play-off Winners;2013-11-20;12;2;NULL;Winners;1930;6
Uruguay;AFC v CONMEBOL play-off Winners;2013-11-20;12;2;NULL;Winners;1950;6
Switzerland;UEFA Group E Winners;2013-10-11;10;3;NULL;Quarter-finals;1934;7
Switzerland;UEFA Group E Winners;2013-10-11;10;3;NULL;Quarter-finals;1938;7
Switzerland;UEFA Group E Winners;2013-10-11;10;3;NULL;Quarter-finals;1954;7
Netherlands;UEFA Group D Winners;2013-09-10;10;3;NULL;Runners-up;1974;8
Netherlands;UEFA Group D Winners;2013-09-10;10;3;NULL;Runners-up;1978;8
Netherlands;UEFA Group D Winners;2013-09-10;10;3;NULL;Runners-up;2010;8
United States;CONCACAF Fourth Round Winners;2013-09-10;10;7;NULL;Third place;1930;13
Russia;UEFA Group F Winners;2013-10-15;10;1;2002;Fourth place;1966;19
Chile;CONMEBOL Round Robin Third Place;2013-10-15;9;2;NULL;Third place;1962;12
South Korea;AFC Fourth Round Group A Runners-up;2013-06-18;9;8;NULL;Fourth place;2002;56
Cameroon;CAF Third Round Winners;2013-11-17;7;2;NULL;Quarter-finals;1990;59
Portugal;UEFA Play-off Winners;2013-11-19;6;4;NULL;Third place;1966;14
Colombia;CONMEBOL Round Robin Runners-up;2013-10-11;5;1;1998;Round of 16;1990;4
Nigeria;CAF Third Round Winners;2013-11-16;5;2;NULL;Round of 16;1994;33
Nigeria;CAF Third Round Winners;2013-11-16;5;2;NULL;Round of 16;1998;33
Japan;AFC Fourth Round Group B Winners;2013-06-04;5;5;NULL;Round of 16;2002;44
Japan;AFC Fourth Round Group B Winners;2013-06-04;5;5;NULL;Round of 16;2010;44
Croatia;UEFA Play-off Winners;2013-11-19;4;1;2006;Third place;1998;18
Costa Rica;CONCACAF Fourth Round Runners-up;2013-09-10;4;1;2006;Round of 16;1990;31
Algeria;CAF Third Round Winners;2013-11-19;4;2;NULL;Group stage;1982;32
Algeria;CAF Third Round Winners;2013-11-19;4;2;NULL;Group stage;1986;32
Algeria;CAF Third Round Winners;2013-11-19;4;2;NULL;Group stage;2010;32
Iran;AFC Fourth Round Group A Winners;2013-06-18;4;1;2006;Group stage;1978;49
Iran;AFC Fourth Round Group A Winners;2013-06-18;4;1;2006;Group stage;1998;49
Iran;AFC Fourth Round Group A Winners;2013-06-18;4;1;2006;Group stage;2006;49
Australia;AFC Fourth Round Group B Runners-up;2013-06-18;4;3;NULL;Round of 16;2006;57
Greece;UEFA Play-off Winners;2013-11-19;3;2;NULL;Group stage;1994;15
Greece;UEFA Play-off Winners;2013-11-19;3;2;NULL;Group stage;2010;15
Ivory Coast;CAF Third Round Winners;2013-11-16;3;3;NULL;Group stage;2006;17
Ivory Coast;CAF Third Round Winners;2013-11-16;3;3;NULL;Group stage;2010;17
Ecuador;CONMEBOL Round Robin Fourth Place;2013-10-15;3;1;2006;Round of 16;2006;22
Ghana;CAF Third Round Winners;2013-11-19;3;3;NULL;Quarter-finals;2010;23
Honduras;CONCACAF Fourth Round Third Place;2013-10-15;3;2;NULL;Group stage;1982;34
Honduras;CONCACAF Fourth Round Third Place;2013-10-15;3;2;NULL;Group stage;2010;34
Bosnia and Herzegovina;UEFA Group G Winners;2013-10-15;1;1;NULL;NULL;NULL;16
